,refname,total,response_var,response_var_2,trophic_invader,trophic_invader_2,habitat_type,study_type,study_type_2,citations,dataset,response_fxnlgrp,response_fxnlgrp_2,response_fxnlgrp_3,Physicochemical,Critters,Phys.and.Critters,fund_NSF,fund_FWS,fund_NOAA,fund_EPA,fund_USDA,fund_conserv,Journal,journal_category,pubyear,impactfactor,impactfactor_year,lastauth_country,carp,zebra_mussel,phragmites,spartina,bythotrephes,trout,last_author_region,same_first_author,last_author_english,species,FWS_NOAA,USDA_EPA_conserv
87,jackson2016,3825,Multiple,AD,Omnivore,Omnivore,Lake,Manipulative,Manipulative,0,new,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,0,Journal of Animal Ecology,General,2016,3.93,2015,UK,0,0,0,0,0,0,Europe,jackson_b,1,Other,0,0
88,jayawardana2006,4064,Multiple,AD,Primary-producer,Primary-producer,River,Observational,Observational,8,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,0,Hydrobiologia,General,2006,1.28,2006,Australia,0,0,1,0,0,0,Australia and New Zealand,jayawardana,1,Phragmites,0,0
89,johnson2009,4817,Abundance,Abundance,Multiple,Omnivore and Filter-collector,Lake,Mesocosm,Mesocosm,96,gallardo,Phytoplankton,Phytoplankton,Phytoplankton,0,1,0,1,0,0,0,0,0,Community Ecology,General,2009,0.98,2009,USA,0,0,0,0,0,0,North America,johnson,1,Other,0,0
90,kadye2012,5201,Multiple,AD,Predator,Predator,River,Manipulative,Manipulative,11,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,1,0,0,0,0,0,Biodiversity and Conservation,Conservation,2012,1.4,2012,South Africa,0,0,0,0,0,0,Africa,kadye,0,Other,0,0
91,kadye2013,4468,Abundance,Abundance,Predator,Predator,River,Multiple,Manipulative and Observational,5,gallardo,Benthic Invertebrates,Benthic Invertebrates and Fish,Multiple Critters,0,1,0,1,0,0,0,0,0,Hydrobiologia,General,2013,2.39,2013,South Africa,0,0,0,0,0,1,Africa,kadye,0,Trout,0,0
92,keller2007,3814,Physicochemical,Physicochemical,Predator,Predator,River,Mesocosm,Mesocosm,14,gallardo,Multiple,Physicochemical Only,Physicochemical Only,1,0,0,0,0,0,0,1,0,Ecology of Freshwater,Ecosystem,2007,1.39,2007,USA,0,0,0,0,0,0,North America,keller,1,Other,0,1
93,kelly2006,4149,Multiple,AD,Multiple,Predator and Omnivore,Lake,Observational,Observational,53,gallardo,Multiple,Benthic Invertebrates and Zooplankton,Multiple Critters,0,1,0,0,0,0,0,0,0,Diversity and Distributions,Invasions,2006,4.92,2006,Canada,0,0,0,0,1,0,North America,kelly,1,Bythotrephes,0,0
94,kercher2004,4005,Diversity,Diversity,Primary-producer,Primary-producer,Lake,Observational,Observational,40,gallardo,Macrophytes,Macrophytes,Macrophytes,0,1,0,0,0,0,1,0,0,Natural Areas Journal,Ecosystem,2004,0.55,2004,USA,0,0,0,0,0,0,North America,kercher,1,Other,0,1
95,kerfoot2016,8716,Abundance,Abundance,Predator,Predator,Lake,Observational,Observational,1,new,Zooplankton,Zooplankton,Zooplankton,0,1,0,1,0,1,0,0,1,Biological Invasions,Invasions,2016,3.67,2015,USA,0,0,0,0,1,0,North America,kerfoot,1,Bythotrephes,1,1
96,kipp2012,7593,Multiple,AD,Predator,Predator,River,Observational,Observational,16,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,1,0,0,0,0,0,Journal of Great Lakes Research,Ecosystem,2012,2.309,2012,Canada,0,0,0,0,0,0,North America,kipp,1,Other,0,0
97,klose2012,5061,Multiple,AD,Omnivore,Omnivore,River,Manipulative,Manipulative,21,gallardo,Multiple,Benthic Invertebrates and Phytoplankton,Multiple Critters,0,1,0,1,0,0,0,0,0,Freshwater Biology,Ecosystem,2012,3.933,2012,USA,0,0,0,0,0,0,North America,klose,1,Other,0,0
98,klose2013,6783,Multiple,AP,Omnivore,Omnivore,River,Manipulative,Manipulative,6,gallardo,Multiple,Benthic Invertebrates and Phytoplankton,Multiple Critters,1,1,1,1,0,0,0,0,0,Community Ecology,General,2013,1.2,2013,USA,0,0,0,0,0,0,North America,klose,1,Other,0,0
99,kloskowski2011,4866,Abundance,Abundance,Omnivore,Omnivore,Lake,Manipulative,Manipulative,33,gallardo,Macrophytes,Macrophytes,Macrophytes,0,1,0,1,0,0,0,0,0,Fundamental and Applied Limnology,Ecosystem,2011,1.145,2011,Poland,1,0,0,0,0,0,Europe,kloskowski,0,Carp,0,0
100,knapp2001,9832,Abundance,Abundance,Predator,Predator,Lake,Multiple,Manipulative and Observational,261,gallardo,Zooplankton,Zooplankton,Zooplankton,0,1,0,1,0,0,0,1,0,Ecological Monographs,General,2001,5.551,2001,USA,0,0,0,0,0,0,North America,knapp,1,Other,0,1
101,kolosovich2012,3091,Abundance,Abundance,Filter-collector,Filter-collector,Lake,Mesocosm,Mesocosm,5,gallardo,Phytoplankton,Phytoplankton,Phytoplankton,0,1,0,1,1,0,0,0,0,Aquatic Invasions,Invasions,2012,1.136,2012,USA,0,0,0,0,0,0,North America,kolosovich,1,Other,1,0
102,kornijow2010,2891,Abundance,Abundance,Primary-producer,Primary-producer,River,Observational,Observational,14,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,1,0,0,0,0,0,Fundamental and Applied Limnology,Ecosystem,2010,1.108,2010,USA,0,0,0,0,0,0,North America,kornijow,1,Other,0,0
103,kornis2013,4936,Multiple,AD,Predator,Predator,River,Observational,Observational,26,gallardo,Fish,Fish,Fish,0,1,0,0,0,1,0,0,0,Diversity and Distributions,Invasions,2013,5.469,2013,USA,0,0,0,0,0,0,North America,kornis,1,Other,1,0
104,krakowiak2008,4916,Multiple,ADP,Predator,Predator,River,Observational,Observational,43,gallardo,Multiple,Benthic Invertebrates and Fish,Multiple Critters,1,1,1,0,0,0,0,0,0,Journal of Great Lakes Research,Ecosystem,2008,1.393,2008,USA,0,0,0,0,0,0,North America,krakowiak,1,Other,0,0
105,kuhns1999,3195,Abundance,Abundance,Multiple,Predator and Filter-collector,Lake,Manipulative,Manipulative,126,gallardo,Multiple,Benthic Invertebrates and Phytoplankton,Multiple Critters,0,1,0,0,0,1,1,0,0,Journal of Great Lakes Research,Ecosystem,1999,0.53,1999,USA,0,1,0,0,0,0,North America,kuhns,1,Zebra mussel,1,1
106,ladrera2015,4336,Multiple,AD,Primary-producer,Primary-producer,River,Observational,Observational,5,new,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,0,River Research and Applications,Conservation,2015,1.98,2015,Spain,0,0,0,0,0,0,Europe,ladrera,0,Other,0,0
107,lancelotti2016,2769,Abundance,Abundance,Predator,Predator,Lake,Observational,Observational,1,new,Zooplankton,Zooplankton,Zooplankton,0,1,0,1,0,0,0,0,1,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,0,1,Central and South America,lancelotti,0,Trout,0,1
108,larochelle2015,5976,Abundance,Abundance,Primary-producer,Primary-producer,River,Observational,Observational,2,new,Fish,Fish,Fish,0,1,0,1,1,0,1,0,1,Transactions of the American Fisheries Society,General,2015,1.469,2015,Canada,0,0,1,0,0,0,North America,larochelle,1,Phragmites,1,1
109,latini2004,3491,Diversity,Diversity,Predator,Predator,Lake,Observational,Observational,162,gallardo,Fish,Fish,Fish,0,1,0,1,1,0,0,0,1,Fisheries Management and Ecology,Conservation,2004,0.471,2004,Brazil,0,0,0,0,0,0,Central and South America,latini,0,Other,1,1
110,leal-florez2008,3789,Diversity,Diversity,Omnivore,Omnivore,Estuary,Observational,Observational,11,gallardo,Fish,Fish,Fish,0,1,0,0,0,1,0,0,0,Bulletin of Marine Science,General,2008,0.929,2008,Germany,0,0,0,0,0,0,Europe,leal-florez,0,Other,1,0
111,lejart2011,5378,Multiple,AD,Filter-collector,Filter-collector,Estuary,Observational,Observational,27,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,1,0,0,Journal of Sea Research,Ecosystem,2011,2.598,2011,France,0,0,0,0,0,0,Europe,lejart,0,Other,0,1
113,leyse2004,4326,Abundance,Abundance,Omnivore,Omnivore,Lake,Mesocosm,Mesocosm,59,gallardo,Multiple,Benthic Invertebrates and Zooplankton,Multiple Critters,0,1,0,0,0,0,1,0,1,Biological Conservation,Conservation,2004,2.166,2004,USA,0,0,0,0,0,0,North America,leyse,1,Other,0,1
114,liang2016,3604,Abundance,Abundance,Primary-producer,Primary-producer,Estuary,Observational,Observational,1,new,Other,Other,Other,0,1,0,1,0,0,0,0,0,Aquatic Botany,Ecosystem,2016,1.846,2015,China,0,0,0,1,0,0,Asia,liang,0,Spartina,0,0
115,lishawa2014,4963,Multiple,AP,Primary-producer,Primary-producer,Lake,Mesocosm,Mesocosm,7,new,Multiple,Macrophytes,Macrophytes,1,1,1,1,0,0,0,0,0,Aquatic Sciences,General,2014,2.706,2014,USA,0,0,0,0,0,0,North America,lishawa,1,Other,0,0
116,lishawa2015,4385,Diversity,Diversity,Primary-producer,Primary-producer,Lake,Manipulative,Manipulative,6,new,Macrophytes,Macrophytes,Macrophytes,0,1,0,0,0,0,1,0,1,Restoration Ecology,Conservation,2015,1.891,2015,USA,0,0,0,0,0,0,North America,lishawa,1,Other,0,1
117,lodge1994,8952,Abundance,Abundance,Omnivore,Omnivore,Lake,Manipulative,Manipulative,397,gallardo,Multiple,"Benthic Invertebrates, Macrophytes, and Phytoplankton",Multiple Critters,0,1,0,1,0,0,0,0,0,Ecology,General,1994,3.139,1999,USA,0,0,0,0,0,0,North America,lodge,1,Other,0,0
118,long2015,5097,Abundance,Abundance,Filter-collector,Filter-collector,Estuary,Observational,Observational,0,new,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,1,0,0,1,Journal of Experimental Marine Biology and Ecology,Ecosystem,2015,1.796,2015,USA,0,0,0,0,0,0,North America,long,1,Other,1,1
120,maceda2016,5187,Diversity,Diversity,Primary-producer,Primary-producer,River,Observational,Observational,3,new,Multiple,Benthic Invertebrates and Macrophytes,Multiple Critters,0,1,0,1,0,0,0,0,0,Biological Invasions,Invasions,2016,2.855,2015,Spain,0,0,0,0,0,0,Europe,maceda,0,Other,0,0
121,maclennan2015,4309,Abundance,Abundance,Predator,Predator,Lake,Mesocosm,Mesocosm,4,new,Multiple,Phytoplankton and Zooplankton,Multiple Critters,0,1,0,1,0,0,0,0,0,Freshwater Biology,Ecosystem,2015,2.933,2015,Canada,0,0,0,0,0,1,North America,maclennan,1,Trout,0,0
122,maezono2004,1845,Multiple,AD,Predator,Predator,Lake,Observational,Observational,41,gallardo,Fish,Fish,Fish,0,1,0,0,1,0,0,0,0,Ecological Research,General,2004,1.937,2004,Japan,0,0,0,0,0,0,Asia,maezono,0,Other,1,0
123,mantovani2006,2550,Multiple,AD,Filter-collector,Filter-collector,Estuary,Manipulative,Manipulative,6,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,1,0,0,1,0,ICES Journal of Marine Science,General,2006,1.469,2006,Italy,0,0,0,0,0,0,Europe,matovani,0,Other,1,1
124,marks2010,5137,Abundance,Abundance,Predator,Predator,River,Multiple,Manipulative and Observational,34,gallardo,Fish,Fish,Fish,0,1,0,1,1,0,0,0,1,Restoration Ecology,Conservation,2009,1.502,2009,USA,0,0,0,0,0,0,North America,marks,1,Other,1,1
125,mathers2016,5740,Abundance,Abundance,Omnivore,Omnivore,River,Observational,Observational,1,new,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,1,0,0,Science of the Total Environment,General,2016,3.976,2015,UK,0,0,0,0,0,0,Europe,mathers,1,Other,0,1
126,matsuzaki2009,5627,Multiple,AP,Omnivore,Omnivore,Lake,Manipulative,Manipulative,139,gallardo,Multiple,Phytoplankton and Zooplankton,Multiple Critters,1,1,1,1,0,0,0,0,0,Oecologia,General,2008,2.833,2008,Japan,1,0,0,0,0,0,Asia,matsuzaki,0,Carp,0,0
127,mazerolle2014,5632,Abundance,Abundance,Primary-producer,Primary-producer,Lake,Observational,Observational,8,new,Other,Other,Other,0,1,0,1,1,0,0,0,1,Wetlands Ecology and Management,Conservation,2014,1.274,2014,Canada,0,0,1,0,0,0,North America,mazerolle,1,Phragmites,1,1
128,mckinnon2009,4638,Multiple,ADP,Primary-producer,Primary-producer,Estuary,Observational,Observational,44,gallardo,Multiple,Benthic Invertebrates,Benthic Invertebrates,1,1,1,0,0,0,0,0,0,Marine Ecology Progress Series,Ecosystem,2009,2.088,2009,Australia,0,0,0,0,0,0,Australia and New Zealand,mckinnon,1,Other,0,0
129,mcshane2007,7242,Abundance,Abundance,Predator,Predator,River,Manipulative,Manipulative,1,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,1,Thesis,General,2007,0,2007,USA,0,0,0,0,0,0,North America,mcshane,1,Other,0,1
130,menezes2011,3069,Multiple,ADP,Predator,Predator,Lake,Observational,Observational,14,gallardo,Multiple,"Fish, Phytoplankton, and Zooplankton",Multiple Critters,1,1,1,1,0,0,1,0,1,Biological Invasions,Invasions,2012,2.222,2012,China,0,0,0,0,0,0,Asia,menezes,0,Other,0,1
132,michelan2010,3951,Diversity,Diversity,Primary-producer,Primary-producer,Lake,Observational,Observational,44,gallardo,Macrophytes,Macrophytes,Macrophytes,0,1,0,1,0,0,0,0,0,Freshwater Biology,Ecosystem,2010,2.717,2010,Brazil,0,0,0,0,0,0,Central and South America,michelan,0,Other,0,0
133,mines2013,5657,Abundance,Abundance,Predator,Predator,Lake,Observational,Observational,3,gallardo,Zooplankton,Zooplankton,Zooplankton,0,1,0,1,0,0,0,1,0,Limnology and Oceanography,General,2013,1.425,2013,Australia,0,0,0,0,1,0,Australia and New Zealand,mines,1,Bythotrephes,0,1
134,miranda2014,3098,Diversity,Diversity,Omnivore,Omnivore,Lake,Observational,Observational,5,new,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,1,0,1,0,0,0,African Invertebrates,General,2014,0.464,2014,South Africa,0,0,0,0,0,0,Africa,miranda,0,Other,1,0
135,mitchell2011,2519,Multiple,DP,Primary-producer,Primary-producer,Lake,Observational,Observational,29,gallardo,Multiple,Macrophytes,Macrophytes,1,1,1,0,0,1,0,0,0,Wetlands,Ecosystem,2011,1.07,2011,USA,0,0,0,0,0,0,North America,mitchell,1,Other,1,0
136,mortl2003,2885,Multiple,AP,Filter-collector,Filter-collector,Lake,Manipulative,Manipulative,65,gallardo,Multiple,Benthic Invertebrates,Benthic Invertebrates,1,1,1,1,0,0,0,0,0,International Review of Hydrobiology ,Ecosystem,2003,0.741,2003,Germany,0,1,0,0,0,0,Europe,mortl,0,Zebra mussel,0,0
138,neira2005,5075,Multiple,ADP,Primary-producer,Primary-producer,Estuary,Observational,Observational,117,gallardo,Multiple,Benthic Invertebrates and Phytoplankton,Multiple Critters,1,1,1,1,0,0,0,0,0,Marine Ecology Progress Series,Ecosystem,2005,1.874,2005,USA,0,0,0,1,0,0,North America,neira,1,Spartina,0,0
139,neira2006,6589,Multiple,ADP,Primary-producer,Primary-producer,Estuary,Observational,Observational,114,gallardo,Multiple,Benthic Invertebrates and Phytoplankton,Multiple Critters,1,1,1,1,0,0,0,0,0,Ecological Applications,Conservation,2006,3.256,2006,USA,0,0,0,1,0,0,North America,neira,1,Spartina,0,0
140,nystrom1999,4336,Abundance,Abundance,Multiple,Predator and Omnivore,Lake,Manipulative,Manipulative,134,gallardo,Multiple,"Benthic Invertebrates, Macrophytes, and Phytoplankton",Multiple Critters,0,1,0,0,0,0,1,0,0,OIKOS,General,1999,2.109,1999,Sweden,0,0,0,0,0,1,Europe,nystrom,0,Trout,0,1
141,osland2011,6491,Diversity,Diversity,Primary-producer,Primary-producer,Estuary,Manipulative,Manipulative,17,gallardo,Macrophytes,Macrophytes,Macrophytes,0,1,0,1,0,0,0,0,1,Ecological Applications,Conservation,2011,4.83,2011,USA,0,0,0,0,0,0,North America,osland,1,Other,0,1
142,ozersky2011,3691,Multiple,AP,Filter-collector,Filter-collector,Lake,Multiple,Observational and Mesocosm,19,gallardo,Multiple,Benthic Invertebrates and Phytoplankton,Multiple Critters,1,1,1,0,0,0,1,0,1,North American Benthological Society,Ecosystem,2011,2.8,2011,Canada,0,1,0,0,0,0,North America,ozersky,1,Zebra mussel,0,1
144,pelicice2008,4226,Multiple,AD,Predator,Predator,Lake,Observational,Observational,92,gallardo,Fish,Fish,Fish,0,1,0,1,0,0,0,0,0,Biological Invasions,Invasions,2008,2.46,2008,Brazil,0,0,0,0,0,0,Central and South America,pelicice,0,Other,0,0
145,penk2015,4273,Multiple,AD,Predator,Predator,Lake,Mesocosm,Mesocosm,3,new,Multiple,"Benthic Invertebrates, Macrophytes, Phytoplankton, and Zooplankton",Multiple Critters,0,1,0,1,0,0,0,0,0,Journal of Animal Ecology,General,2015,4.827,2015,Ireland,0,0,0,0,0,0,Europe,penk,1,Other,0,0
146,peters2013,6231,Multiple,ADP,Omnivore,Omnivore,Lake,Observational,Observational,12,gallardo,Multiple,Macrophytes,Macrophytes,1,1,1,1,0,0,0,0,1,Biological Invasions,Invasions,2013,2.448,2013,USA,0,0,0,0,0,0,North America,peters,1,Other,0,1
147,pothoven2012,4186,Multiple,AP,Predator,Predator,Lake,Multiple,Manipulative and Observational,16,gallardo,Multiple,Phytoplankton and Zooplankton,Multiple Critters,1,1,1,0,0,1,0,0,0,Aquatic Ecology,General,2012,1.378,2012,USA,0,0,0,0,0,0,North America,pothoven,1,Other,1,0
148,preston2012,3519,Multiple,AP,Omnivore,Omnivore,Lake,Mesocosm,Mesocosm,34,gallardo,Multiple,Phytoplankton and Zooplankton,Multiple Critters,1,1,1,1,0,0,0,0,0,Ecology,General,2012,5.175,2012,USA,0,0,0,0,0,0,North America,preston,1,Other,0,0
149,reed2004,2486,Multiple,AD,Filter-collector,Filter-collector,Lake,Observational,Observational,15,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,1,0,0,0,Journal of Great Lakes Research,Ecosystem,2004,0.645,2004,USA,0,1,0,0,0,0,North America,reed,1,Zebra mussel,1,0
150,reissig2006,3551,Multiple,AD,Predator,Predator,Lake,Observational,Observational,63,gallardo,Multiple,Phytoplankton and Zooplankton,Multiple Critters,0,1,0,1,0,0,0,0,0,Biological Conservation,Conservation,2006,2.854,2006,Argentina,0,0,0,0,0,0,Central and South America,reissig,0,Other,0,0
151,ricciardi1997,5301,Abundance,Abundance,Filter-collector,Filter-collector,Lake,Multiple,Manipulative and Observational,263,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,1,0,0,0,0,0,Canadian Journal of Fisheries and Aquatic Sciences,Conservation,1997,1.324,1997,Canada,0,1,0,0,0,0,North America,ricciardi,1,Zebra mussel,0,0
152,richburg2001,3597,Diversity,Diversity,Primary-producer,Primary-producer,Lake,Observational,Observational,69,gallardo,Macrophytes,Macrophytes,Macrophytes,0,1,0,0,1,0,0,0,1,Wetlands,Ecosystem,2001,1.137,2001,USA,0,0,1,0,0,0,North America,richburg,1,Phragmites,1,1
153,ruginis2014,6487,Physicochemical,Physicochemical,Filter-collector,Filter-collector,Estuary,Observational,Observational,2,new,Multiple,Physicochemical Only,Physicochemical Only,1,0,0,1,0,0,0,0,0,Aquatic Sciences,General,2014,2.706,2014,Lithuania,0,1,0,0,0,0,Europe,ruginis,0,Zebra mussel,0,0
154,ruokonen2012,4922,Abundance,Abundance,Omnivore,Omnivore,River,Observational,Observational,10,gallardo,Fish,Fish,Fish,0,1,0,0,1,0,0,0,0,Biological Invasions,Invasions,2012,2.509,2012,Finland,0,0,0,0,0,0,Europe,ruokonen,0,Other,1,0
155,ruokonen2014,5447,Multiple,AD,Omnivore,Omnivore,Lake,Observational,Observational,12,new,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,1,0,0,0,0,Freshwater Biology,Ecosystem,2014,2.738,2014,Finland,0,0,0,0,0,0,Europe,ruokonen,0,Other,1,0
156,scharfy2009,5871,Multiple,AD,Primary-producer,Primary-producer,Lake,Observational,Observational,35,gallardo,Macrophytes,Macrophytes,Macrophytes,0,1,0,1,0,0,0,0,0,Journal of Vegetation Science,General,2009,2.376,2009,Switzerland,0,0,0,0,0,0,Europe,scharfy,0,Other,0,0
157,schilling2009,4714,Multiple,AD,Predator,Predator,Lake,Observational,Observational,29,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,1,1,0,0,0,1,Biological Conservation,Conservation,2009,3.167,2009,USA,0,0,0,0,0,0,North America,schilling,1,Other,1,1
158,schooler2006,6444,Diversity,Diversity,Primary-producer,Primary-producer,Lake,Observational,Observational,65,gallardo,Macrophytes,Macrophytes,Macrophytes,0,1,0,0,0,0,0,1,1,Diversity and Distributions,Invasions,2006,3.441,2006,USA,0,0,0,0,0,0,North America,schooler,1,Other,0,1
159,scott2012,7378,Multiple,AP,Omnivore,Omnivore,River,Manipulative,Manipulative,7,gallardo,Multiple,Phytoplankton,Phytoplankton,1,1,1,1,1,0,0,0,0,Aquatic Sciences,General,2012,2.602,2012,USA,0,0,0,0,0,0,North America,scott,1,Other,1,0
160,shelton2014,1980,Abundance,Abundance,Predator,Predator,River,Observational,Observational,1,new,Fish,Fish,Fish,0,1,0,0,0,0,0,0,0,African Zoology,General,2014,0.612,2014,South Africa,0,0,0,0,0,0,Africa,shelton,0,Other,0,0
161,shelton2015,6489,Multiple,AP,Predator,Predator,River,Observational,Observational,12,new,Multiple,Fish,Fish,1,1,1,0,0,0,0,1,0,Biological Invasions,Invasions,2015,2.855,2015,South Africa,0,0,0,0,0,1,Africa,shelton,0,Trout,0,1
162,shelton2015b,5999,Abundance,Abundance,Predator,Predator,River,Observational,Observational,2,new,Multiple,Benthic Invertebrates and Phytoplankton,Multiple Critters,1,1,1,0,0,0,0,1,0,Hydrobiologia,General,2015,2.051,2015,South Africa,0,0,0,0,0,1,Africa,shelton,0,Trout,0,1
163,shelton2016,5521,Abundance,Abundance,Predator,Predator,River,Manipulative,Manipulative,1,new,Multiple,Benthic Invertebrates and Phytoplankton,Multiple Critters,1,1,1,0,0,0,0,1,0,Austral Ecology,General,2016,1.598,2015,South Africa,0,0,0,0,0,1,Africa,shelton,0,Trout,0,1
164,shulse2013,4360,Multiple,AD,Omnivore,Omnivore,Lake,Manipulative,Manipulative,14,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,1,0,1,Journal of Applied Ecology,Conservation,2013,4.754,2013,USA,0,0,0,0,0,0,North America,shulse,1,Other,0,1
166,song2015,3050,Multiple,DP,Primary-producer,Primary-producer,Lake,Observational,Observational,3,new,Multiple,Other,Other,1,1,1,1,0,0,0,0,0,Plant and Soil,General,2015,2.969,2015,Korea,0,0,1,0,0,0,Asia,song,0,Phragmites,0,0
167,stewart1994,3970,Diversity,Diversity,Predator,Predator,Lake,Observational,Observational,207,gallardo,Zooplankton,Zooplankton,Zooplankton,0,1,0,1,1,0,0,0,0,Journal of Great Lakes Research,Ecosystem,2010,1.305,2010,USA,0,0,0,0,0,0,North America,stewart_b,1,Other,1,0
168,stewart2010,6662,Multiple,AD,Multiple,Predator and Filter-collector,Lake,Observational,Observational,23,gallardo,Multiple,Benthic Invertebrates and Macrophytes,Multiple Critters,0,1,0,1,1,0,0,0,0,Journal of Great Lakes Research,Ecosystem,1994,0.694,1997,USA,0,1,0,0,0,0,North America,stewart_a,1,Zebra mussel,1,0
169,stiers2011,3774,Diversity,Diversity,Primary-producer,Primary-producer,Lake,Observational,Observational,54,gallardo,Macrophytes,Macrophytes,Macrophytes,0,1,0,0,0,0,0,1,0,Biological Invasions,Invasions,2011,2.896,2011,Belgium,0,0,0,0,0,0,Europe,stiers,0,Other,0,1
170,strayer2003,3586,Abundance,Abundance,Primary-producer,Primary-producer,River,Observational,Observational,90,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,1,Canadian Journal of Fisheries and Aquatic Sciences,General,2003,2.432,2003,USA,0,0,0,0,0,0,North America,strayer,1,Other,0,1
171,strayer2004,6601,Abundance,Abundance,Filter-collector,Filter-collector,Lake,Observational,Observational,134,gallardo,Fish,Fish,Fish,0,1,0,0,0,0,0,0,1,Canadian Journal of Fisheries and Aquatic Sciences,General,2004,1.801,2004,USA,0,1,0,0,0,0,North America,strayer,1,Zebra mussel,0,1
172,strecker2006,5444,Multiple,ADP,Predator,Predator,Lake,Observational,Observational,65,gallardo,Multiple,Phytoplankton and Zooplankton,Multiple Critters,1,1,1,0,1,1,1,0,0,Canadian Journal of Fisheries and Aquatic Sciences,General,2006,1.646,2006,Canada,0,0,0,0,1,0,North America,strecker,1,Bythotrephes,1,1
173,strecker2008,4935,Abundance,Abundance,Predator,Predator,Lake,Observational,Observational,63,gallardo,Multiple,Phytoplankton and Zooplankton,Multiple Critters,0,1,0,0,0,0,0,0,1,Freshwater Biology,Ecosystem,2008,2.704,2008,USA,0,0,0,0,1,0,North America,strecker,1,Bythotrephes,0,1
174,strecker2011,5738,Multiple,AP,Predator,Predator,Lake,Observational,Observational,17,gallardo,Multiple,Zooplankton,Zooplankton,1,1,1,1,1,1,0,0,0,Limnology and Oceanography,General,2011,1.478,2011,Canada,0,0,0,0,1,0,North America,strecker,1,Bythotrephes,1,0
175,sylvester2007,4383,Abundance,Abundance,Filter-collector,Filter-collector,Estuary,Manipulative,Manipulative,29,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,1,0,0,0,0,0,Hydrobiologia,General,2007,1.201,2007,Argentina,0,0,0,0,0,0,Central and South America,sylvester,0,Other,0,0
176,taylor2010,4254,Multiple,AD,Primary-producer,Primary-producer,Estuary,Manipulative,Manipulative,19,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,1,0,0,0,0,0,Marine Ecology Progress Series,Ecosystem,2010,2.483,2010,Australia,0,0,0,0,0,0,Australia and New Zealand,taylor,1,Other,0,0
177,thyrring2013,1978,Diversity,Diversity,Filter-collector,Filter-collector,Estuary,Observational,Observational,5,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,1,0,1,0,0,0,Helgoland Marine Research,Ecosystem,2013,1.408,2013,Australia,0,0,0,0,0,0,Australia and New Zealand,thyrring,1,Other,1,0
178,tonkin2014,4886,Abundance,Abundance,Predator,Predator,Lake,Manipulative,Manipulative,1,new,Fish,Fish,Fish,0,1,0,0,1,0,0,0,0,Austral Ecology,General,2014,1.837,2014,Germany,0,0,0,0,0,0,Europe,tonkin,0,Other,1,0
179,trebitz2007,6122,Diversity,Diversity,Primary-producer,Primary-producer,Lake,Observational,Observational,45,gallardo,Macrophytes,Macrophytes,Macrophytes,0,1,0,0,0,0,1,0,0,Journal of Great Lakes Research,Ecosystem,2007,1.18,2007,USA,0,0,1,0,0,0,North America,trebitz,1,Phragmites,0,1
181,tsunoda2010,3099,Diversity,Diversity,Predator,Predator,Lake,Multiple,Manipulative and Observational,10,gallardo,Fish,Fish,Fish,0,1,0,1,0,0,0,0,1,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2010,1.968,2010,Japan,0,0,0,0,0,0,Asia,tsunoda,0,Other,0,1
