newobsnum,bywhom?,refnum,refname,invasive_species,trophic_invader,response_var,response_var_details,response_var_units,response_fxnlgrp,habitat_type,study_type,es_num,es_num2,pres_x,pres_n,pres_err,abs_x,abs_n,abs_err,error_type,control_type,abs_conditions,data_source,notes,include,citations,fund_NSF,fund_FWS,fund_NOAA,fund_EPA,fund_USDA,fund_conserv,Funding Sources,Funding notes,Journal,journal_category,pubyear,impactfactor,impactfactor_year,lastauth_country,carp,zebra_mussel,phragmites,spartina,last_author_region,same_first_author,last_author_english
175,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,0,9,0,2.469,9,2.594,sd,uninvaded,invader not stocked in lake,Figure 3,"Pot (pres) vs Rod1 (abs), unvegetated",0,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
176,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,12.562,9,1.848,2.718,9,0.898,sd,uninvaded,invader not stocked in lake,Figure 3,"Camp (pres) vs Rod2 (abs), unvegetated",0,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
177,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,12.967,9,6.892,0.474,9,0.05,sd,uninvaded,invader not stocked in lake,Figure 3,"Camp (pres) vs Rod2 (abs), unvegetated",0,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
178,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,0,9,0,4.165,9,7.182,sd,uninvaded,invader not stocked in lake,Figure 3,"Camp (pres) vs Rod2 (abs), unvegetated",0,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
179,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,0,9,0,2.469,9,2.095,sd,uninvaded,invader not stocked in lake,Figure 3,"Camp (pres) vs Rod2 (abs), unvegetated",0,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
180,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,3.653,9,1.848,2.718,9,0.898,sd,uninvaded,invader not stocked in lake,Figure 3,"Pot (pres) vs Rod2 (abs), unvegetated",1,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
181,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,0.812,9,6.892,0.474,9,0.05,sd,uninvaded,invader not stocked in lake,Figure 3,"Pot (pres) vs Rod2 (abs), unvegetated",1,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
182,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,0,9,0,4.165,9,7.182,sd,uninvaded,invader not stocked in lake,Figure 3,"Pot (pres) vs Rod2 (abs), unvegetated",1,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
183,Kali,167,Lancelotti2016,Oncorhynchus mykiss,Predator,Abundance,biomass,mg L^-1,Zooplankton,Lake,Observational,1020,1018,0,9,0,2.469,9,2.095,sd,uninvaded,invader not stocked in lake,Figure 3,"Pot (pres) vs Rod2 (abs), unvegetated",1,1,1,0,0,0,0,1,"(1) Consejo Nacional de Ciencia y Tecnica (CONICET), (2) Aves Argentinas (AOP), (3) Ambiente Sur (Argentina), (4) Fondo de Conservación Ambiental (FOCA): Banco Galicia, (5) Conservation, Research, and Education Opportunities International (CREOI), (6) International Conservation Fund of Canada, (7) Agencia Nacional de Promocion Cientifica y Technologica (PICT 2013-0794)",,Aquatic Conservation: Marine and Freshwater Ecosystems,Conservation,2016,2.415,2015,Argentina,0,0,0,0,Central and South America,lancelotti,0
24,Kali,168,Larned2014,Didymosphenia geminata,Primary-producer,Abundance,density,individuals m^-1,Benthic Invertebrates,River,Manipulative,1021,1019,21666,3,9291,11929,3,6930,other,low invader abundance,invader removed,Figure 4,"error_type=half of 90% CI; 3 different sites, each treated as an indep obs ",0,10,0,0,1,0,0,1,National Institute of Water and Atmospheric Research (New Zealand): Freshwater and Estuaries Centre Research Programme 2 (2011/11),,Journal of Freshwater Ecology,Ecosystem,2014,0.65,2014,New Zealand,0,0,0,0,Australia and New Zealand,larned,1
50,Kali,168,Larned2014,Didymosphenia geminata,Primary-producer,Abundance,density,individuals m^-1,Benthic Invertebrates,River,Manipulative,1021,1019,65277,3,48589,61176,3,36633,other,low invader abundance,invader removed,Figure 4,error_type=half of 90% CI,0,10,0,0,1,0,0,1,National Institute of Water and Atmospheric Research (New Zealand): Freshwater and Estuaries Centre Research Programme 2 (2011/11),,Journal of Freshwater Ecology,Ecosystem,2014,0.65,2014,New Zealand,0,0,0,0,Australia and New Zealand,larned,1
51,Kali,168,Larned2014,Didymosphenia geminata,Primary-producer,Abundance,density,individuals m^-1,Benthic Invertebrates,River,Manipulative,1021,1019,60449,3,31303,40354,3,34881,other,low invader abundance,invader removed,Figure 4,error_type=half of 90% CI,0,10,0,0,1,0,0,1,National Institute of Water and Atmospheric Research (New Zealand): Freshwater and Estuaries Centre Research Programme 2 (2011/11),,Journal of Freshwater Ecology,Ecosystem,2014,0.65,2014,New Zealand,0,0,0,0,Australia and New Zealand,larned,1
25,Kali,168,Larned2014,Didymosphenia geminata,Primary-producer,Diversity,richness,taxon richness,Benthic Invertebrates,River,Manipulative,1022,1020,16.71,3,5.06,17.15,3,5.49,other,low invader abundance,invader removed,Figure 4,error_type=half of 90% CI,0,10,0,0,1,0,0,1,National Institute of Water and Atmospheric Research (New Zealand): Freshwater and Estuaries Centre Research Programme 2 (2011/11),,Journal of Freshwater Ecology,Ecosystem,2014,0.65,2014,New Zealand,0,0,0,0,Australia and New Zealand,larned,1
151,Kali,168,Larned2014,Didymosphenia geminata,Primary-producer,Diversity,richness,taxon richness,Benthic Invertebrates,River,Manipulative,1022,1020,24.81,3,5.59,27.26,3,3.43,other,low invader abundance,invader removed,Figure 4,error_type=half of 90% CI,0,10,0,0,1,0,0,1,"National Institute of Water and Atmospheric Research (New Zealand): Freshwater and Estuaries Centre Research Programme 2, 2011/12",,Journal of Freshwater Ecology,Ecosystem,2014,0.65,2014,New Zealand,0,0,0,0,Australia and New Zealand,larned,1
152,Kali,168,Larned2014,Didymosphenia geminata,Primary-producer,Diversity,richness,taxon richness,Benthic Invertebrates,River,Manipulative,1022,1020,26.35,3,5.01,31.81,3,6.03,other,low invader abundance,invader removed,Figure 4,error_type=half of 90% CI,0,10,0,0,1,0,0,1,"National Institute of Water and Atmospheric Research (New Zealand): Freshwater and Estuaries Centre Research Programme 2, 2011/13",,Journal of Freshwater Ecology,Ecosystem,2014,0.65,2014,New Zealand,0,0,0,0,Australia and New Zealand,larned,1
26,Kali,169,Larochelle2015,phragmites australis,Primary-producer,Abundance,abundance (mean catch per unit effort),individuals/unit effort,Fish,River,Observational,1023,1021,3.7,59,4.5,4.5,60,7.4,sd,native species,invader naturally absent,Table 3,"abundance of fish; 2 different sites, treated as indep obs",1,2,1,1,0,1,0,1,"(1) Natural Sciences and Engineering Research Council of Canada (NSERC), (2) Minist ere du Developpement durable, de l’Environnement, de la Faune et des Parcs du Quebec (Canada), (3) Canadian Wildlife Service (Environment Canada) ",,Transactions of the American Fisheries Society,General,2015,1.469,2015,Canada,0,0,1,0,North America,larochelle,1
27,Kali,169,Larochelle2015,phragmites australis,Primary-producer,Abundance,abundance (mean catch per unit effort),individuals/unit effort,Fish,River,Observational,1023,1021,1.3,88,3.3,1.4,88,3.1,sd,native species,invader naturally absent,Table 3,abundance of fish,1,2,1,1,0,1,0,1,"(1) Natural Sciences and Engineering Research Council of Canada (NSERC), (2) Minist ere du Developpement durable, de l’Environnement, de la Faune et des Parcs du Quebec (Canada), (3) Canadian Wildlife Service (Environment Canada) ",,Transactions of the American Fisheries Society,General,2015,1.469,2015,Canada,0,0,1,0,North America,larochelle,1
153,Kali,169,Larochelle2015,phragmites australis,Primary-producer,Abundance,abundance (mean catch per unit effort),individuals/unit effort,Fish,River,Observational,1023,1021,0.06,18,0.08,0.24,18,0.23,sd,native species,invader naturally absent,Table 1,"abundance of eggs and larvae; 2 different sites, treated as indep obs",1,2,1,1,0,1,0,1,"(1) Natural Sciences and Engineering Research Council of Canada (NSERC), (2) Minist ere du Developpement durable, de l’Environnement, de la Faune et des Parcs du Quebec (Canada), (3) Canadian Wildlife Service (Environment Canada) ",,Transactions of the American Fisheries Society,General,2015,1.469,2015,Canada,0,0,1,0,North America,larochelle,1
154,Kali,169,Larochelle2015,phragmites australis,Primary-producer,Abundance,abundance (mean catch per unit effort),individuals/unit effort,Fish,River,Observational,1023,1021,0.24,13,0.25,0.72,13,0.93,sd,native species,invader naturally absent,Table 1,abundance of eggs and larvae; 2009 for site 2,1,2,1,1,0,1,0,1,"(1) Natural Sciences and Engineering Research Council of Canada (NSERC), (2) Minist ere du Developpement durable, de l’Environnement, de la Faune et des Parcs du Quebec (Canada), (3) Canadian Wildlife Service (Environment Canada) ",,Transactions of the American Fisheries Society,General,2015,1.469,2015,Canada,0,0,1,0,North America,larochelle,1
155,Kali,169,Larochelle2015,phragmites australis,Primary-producer,Abundance,abundance (mean catch per unit effort),individuals/unit effort,Fish,River,Observational,1023,1021,1.45,18,1.03,0.62,18,0.54,sd,native species,invader naturally absent,Table 1,abundance of eggs and larvae; 2010 for site 2,1,2,1,1,0,1,0,1,"(1) Natural Sciences and Engineering Research Council of Canada (NSERC), (2) Minist ere du Developpement durable, de l’Environnement, de la Faune et des Parcs du Quebec (Canada), (3) Canadian Wildlife Service (Environment Canada) ",,Transactions of the American Fisheries Society,General,2015,1.469,2015,Canada,0,0,1,0,North America,larochelle,1
29,Jessie,171,Shelton2014,Micropterus dolomieu,Predator,Abundance,density,individuals 100m^-2,Fish,River,Observational,1024,1022,0.53,2,0.38,152.1,5,19.16,SEM,uninvaded,no invaders above dams,"text p 279, Table 1","abundance of Pseudobarbus burchelli in pools (not riffles), n=density(m)/10000m",1,1,0,0,0,0,0,0,none ,,African Zoology,General,2014,0.612,2014,South Africa,0,0,0,0,Africa,shelton,0
30,Jessie,171,Shelton2014,Micropterus dolomieu,Predator,Abundance,density ,individuals 100m^-2,Fish,River,Observational,1024,1022,0,2,0,22.12,5,6.89,SEM,uninvaded,no invaders above dams,"text p 279, Table 1",abundance of Sandelia capensis in pools (not riffles),1,1,0,0,0,0,0,0,none ,,African Zoology,General,2014,0.612,2014,South Africa,0,0,0,0,Africa,shelton,0
31,Jessie,172,Shelton2016,Oncorhynchus mykiss,Predator,Abundance,density ,individuals m^-2,Benthic Invertebrates,River,Manipulative,1025,1023,6635.1538,4,577.3456,6847.4635,4,339.7155,SEM,no species,excluded with cages,Figure 3 a (trout vs no fish),only two trout used per cage,1,1,0,0,0,0,1,0,"(1) DST-NRF Centre of Excellence for Invasion Biology (CIB), (2) the German Academic Exchange Service (DAAD), (3) the University of Cape Town (UCT) and (4) the Cape Tercentenary Foundation",,Austral Ecology,General,2016,1.598,2015,South Africa,0,0,0,0,Africa,shelton,0
31.1,Jessie,172,Shelton2016,Oncorhynchus mykiss,Predator,Abundance,density,mg chlorophyll a / m2,Phytoplankton,River,Manipulative,1026,1023,6.225,4,0.5625,8.1,4,1.725,SEM,no species,excluded with cages,Fig 4a (trout vs no fish),only two trout used per cage,1,1,0,0,0,0,1,0,"(1) DST-NRF Centre of Excellence for Invasion Biology (CIB), (2) the German Academic Exchange Service (DAAD), (3) the University of Cape Town (UCT) and (4) the Cape Tercentenary Foundation",,Austral Ecology,General,2016,1.598,2015,South Africa,0,0,0,0,Africa,shelton,0
31.2,Jessie,172,Shelton2016,Oncorhynchus mykiss,Predator,Abundance,density biomass,g biomass / m2,Phytoplankton,River,Manipulative,1026,1023,11.1028,4,2.3551,13.8505,4,2.4673,SEM,no species,excluded with cages,Fig 4b (trout vs no fish),only two trout used per cage,1,1,0,0,0,0,1,0,"(1) DST-NRF Centre of Excellence for Invasion Biology (CIB), (2) the German Academic Exchange Service (DAAD), (3) the University of Cape Town (UCT) and (4) the Cape Tercentenary Foundation",,Austral Ecology,General,2016,1.598,2015,South Africa,0,0,0,0,Africa,shelton,0
31.3,Jessie,172,Shelton2016,Oncorhynchus mykiss,Predator,Physiochemistry,FPOM,g / m2,OM,River,Manipulative,1027,1024,2.4591,4,0.2671,2.6015,4,0.6843,SEM,no species,excluded with cages,Fig 4c(trout vs no fish),only two trout used per cage,1,1,0,0,0,0,1,0,"(1) DST-NRF Centre of Excellence for Invasion Biology (CIB), (2) the German Academic Exchange Service (DAAD), (3) the University of Cape Town (UCT) and (4) the Cape Tercentenary Foundation",,Austral Ecology,General,2016,1.598,2015,South Africa,0,0,0,0,Africa,shelton,0
31.4,Jessie,172,Shelton2016,Oncorhynchus mykiss,Predator,Physiochemistry,CPOM,g / m2,OM,River,Manipulative,1027,1024,41.9079,4,10.3618,42.5987,4,18.1907,SEM,no species,excluded with cages,Fig 4d (trout vs no fish),only two trout used per cage,1,1,0,0,0,0,1,0,"(1) DST-NRF Centre of Excellence for Invasion Biology (CIB), (2) the German Academic Exchange Service (DAAD), (3) the University of Cape Town (UCT) and (4) the Cape Tercentenary Foundation",,Austral Ecology,General,2016,1.598,2015,South Africa,0,0,0,0,Africa,shelton,0
32,Jessie,173,Shelton2015,Oncorhynchus mykiss,Predator,Abundance,density,individuals 100m^-2,Fish,River,Observational,1028,1025,1.432,12,1.1453,57.7075,12,17.8797,SEM,uninvaded,invader naturally absent,Figure 2a,responder fish: redfin,1,12,0,0,0,0,1,0,"(1) DST-NRF Centre of Excellence for Invasion Biology (CIB), (2) the German Academic Exchange Service (DAAD), (3) the University of Cape Town (UCT) and (4) the Cape Tercentenary Foundation",,Biological Invasions,Invasions,2015,2.855,2015,South Africa,0,0,0,0,Africa,shelton,0
33,Jessie,173,Shelton2015,Oncorhynchus mykiss,Predator,Abundance,density,individuals 100m^-2,Fish,River,Observational,1028,1025,0.6129,12,0.4859,5.8152,12,1.9338,SEM,uninvaded,invader naturally absent,Figure 2b,responder fish: kurper,1,12,0,0,0,0,1,0,"(1) DST-NRF Centre of Excellence for Invasion Biology (CIB), (2) the German Academic Exchange Service (DAAD), (3) the University of Cape Town (UCT) and (4) the Cape Tercentenary Foundation",,Biological Invasions,Invasions,2015,2.855,2015,South Africa,0,0,0,0,Africa,shelton,0
34,Jessie,173,Shelton2015,Oncorhynchus mykiss,Predator,Abundance,density,individuals 100m^-2,Fish,River,Observational,1028,1025,0.3582,12,0.2865,12.2493,12,7.8796,SEM,uninvaded,invader naturally absent,Figure 2c,responder fish: galaxias,1,12,0,0,0,0,1,0,"(1) DST-NRF Centre of Excellence for Invasion Biology (CIB), (2) the German Academic Exchange Service (DAAD), (3) the University of Cape Town (UCT) and (4) the Cape Tercentenary Foundation",,Biological Invasions,Invasions,2015,2.855,2015,South Africa,0,0,0,0,Africa,shelton,0
35,Jessie,173,Shelton2015,Oncorhynchus mykiss,Predator,Physiochemistry,"NO3, NO2",mg / L,Nutrients-N,River,Observational,1029,1026,9.52,12,2.06,6.21,12,1.88,SEM,uninvaded,invader naturally absent,Table 1,"chose nitrate and nitrite, a prior, over ammonium N",1,12,0,0,0,0,1,0,"(1) DST-NRF Centre of Excellence for Invasion Biology (CIB), (2) the German Academic Exchange Service (DAAD), (3) the University of Cape Town (UCT) and (4) the Cape Tercentenary Foundation",,Biological Invasions,Invasions,2015,2.855,2015,South Africa,0,0,0,0,Africa,shelton,0
36,Jessie,174,shelton2015b,Oncorhynchus mykiss,Predator,Abundance,density,individuals m^-2,Benthic Invertebrates,River,Observational,1030,1027,3568,12,315,2238,12,291,SEM,uninvaded,invader naturally absent,"Figure 4a, text pg 7",,1,2,0,0,0,0,1,0,"(1) DST-NRF Centre of Excellence for Invasion Biology (CIB), (2) the German Academic Exchange Service (DAAD), (3) the University of Cape Town (UCT) and (4) the Cape Tercentenary Foundation",,Hydrobiologia,General,2015,2.051,2015,South Africa,0,0,0,0,Africa,shelton,0
189,Jessie,174,shelton2015b,Oncorhynchus mykiss,Predator,Abundance,biomass,mg chlorophyll a m-2,Phytoplankton,River,Observational,1031,1027,0.94,12,0.24,2.65,12,0.63,SEM,uninvaded,invader naturally absent,Fig. 4b,algae grown on tiles,1,2,0,0,0,0,1,0,"(1) DST-NRF Centre of Excellence for Invasion Biology (CIB), (2) the German Academic Exchange Service (DAAD), (3) the University of Cape Town (UCT) and (4) the Cape Tercentenary Foundation",,Hydrobiologia,General,2015,2.051,2015,South Africa,0,0,0,0,Africa,shelton,0
189.1,Jessie,174,shelton2015b,Oncorhynchus mykiss,Predator,Physiochemistry,NO3 + NO2,mg 1^-1,Nutrients-N,River,Observational,1032,1028,9.52,12,2.06,6.21,12,1.88,SEM,uninvaded,invader naturally absent,table 1,,1,2,0,0,0,0,1,0,"(1) DST-NRF Centre of Excellence for Invasion Biology (CIB), (2) the German Academic Exchange Service (DAAD), (3) the University of Cape Town (UCT) and (4) the Cape Tercentenary Foundation",,Hydrobiologia,General,2015,2.051,2015,South Africa,0,0,0,0,Africa,shelton,0
189.2,Jessie,174,shelton2015b,Oncorhynchus mykiss,Predator,Physiochemistry,NH4,mg 1^-1,Nutrients-N,River,Observational,1032,1028,33.09,12,7.02,24.97,12,1.94,SEM,uninvaded,invader naturally absent,table 1,,1,2,0,0,0,0,1,0,"(1) DST-NRF Centre of Excellence for Invasion Biology (CIB), (2) the German Academic Exchange Service (DAAD), (3) the University of Cape Town (UCT) and (4) the Cape Tercentenary Foundation",,Hydrobiologia,General,2015,2.051,2015,South Africa,0,0,0,0,Africa,shelton,0
161,Ross,177,anderson2014,Castor canadensis,Omnivore,Abundance,Macroinvertebrate Biomass,g AFDM m-2,Benthic Invertebrates,Lake,Observational,1033,1029,0.6,18,0.2,0.5,18,0.1,SEM,uninvaded,without beaver invasive,Table 2,p.218 in paper; trophic_invader=Herbivore but coded as Omnivore,1,9,1,1,0,0,0,0,"(1) Millennium Scientific Institute, (2) NSF, (3) Wildlife Conservation Society ","(1) post doctoral fellowship (ICM P05-02) (2) Doctoral Dissertation Improvement Grant (DEB-0407875) along with programmes on interantional Research Experience for Students (OISE 0854350) (3) Chile to CBA, MPS and CBA and Coupled Natur-Human Systems (GEO 1262148) to CBA",Diversity and Distributions,Invasions,2014,3.46,2014,Argentina,0,0,0,0,Central and South America,anderson,0
159,Ross,177,anderson2014,Castor canadensis,Omnivore,Diversity,Macroinverterbrate Richness,taxa m-2,Benthic Invertebrates,Lake,Observational,1034,1030,8,18,0.4,8.4,18,0.6,SEM,uninvaded,without beaver invasive,Table 2,p.218 in paper; trophic_invader=Herbivore but coded as Omnivore,1,9,1,1,0,0,0,0,"(1) Millennium Scientific Institute, (2) NSF, (3) Wildlife Conservation Society ","(1) post doctoral fellowship (ICM P05-02) (2) Doctoral Dissertation Improvement Grant (DEB-0407875) along with programmes on interantional Research Experience for Students (OISE 0854350) (3) Chile to CBA, MPS and CBA and Coupled Natur-Human Systems (GEO 1262148) to CBA",Diversity and Distributions,Invasions,2014,3.46,2014,Argentina,0,0,0,0,Central and South America,anderson,0
160,Ross,177,anderson2014,Castor canadensis,Omnivore,Diversity,Macroinvertebrate Diversity,H',Benthic Invertebrates,Lake,Observational,1034,1030,1.1,18,0.1,1.2,18,0,SEM,uninvaded,without beaver invasive,Table 2,p.218 in paper; trophic_invader=Herbivore but coded as Omnivore,1,9,1,1,0,0,0,0,"(1) Millennium Scientific Institute, (2) NSF, (3) Wildlife Conservation Society ","(1) post doctoral fellowship (ICM P05-02) (2) Doctoral Dissertation Improvement Grant (DEB-0407875) along with programmes on interantional Research Experience for Students (OISE 0854350) (3) Chile to CBA, MPS and CBA and Coupled Natur-Human Systems (GEO 1262148) to CBA",Diversity and Distributions,Invasions,2014,3.46,2014,Argentina,0,0,0,0,Central and South America,anderson,0
158,Ross,177,anderson2014,Castor canadensis,Omnivore,Physiochemistry,Bethic Organic Matter,g AFDM m-2,OM,Lake,Observational,1035,1031,38.4,18,9.1,16.6,18,3.3,SEM,uninvaded,without beaver invasive,Table 2,p.218 in paper; trophic_invader=Herbivore but coded as Omnivore,1,9,1,1,0,0,0,0,"(1) Millennium Scientific Institute, (2) NSF, (3) Wildlife Conservation Society ","(1) post doctoral fellowship (ICM P05-02) (2) Doctoral Dissertation Improvement Grant (DEB-0407875) along with programmes on interantional Research Experience for Students (OISE 0854350) (3) Chile to CBA, MPS and CBA and Coupled Natur-Human Systems (GEO 1262148) to CBA",Diversity and Distributions,Invasions,2014,3.46,2014,Argentina,0,0,0,0,Central and South America,anderson,0
42,Kali,179,Leroy2014,Elymus athericus,Primary-producer,Abundance,richness,species/trap (10x17cm),Other,Estuary,Observational,1036,1032,4.57,12,1.15,7.4,12,2.01,half of 95% CI,native species,invader naturally non-present,Fig2a,p.218 in paper; trophic_invader=Herbivore but coded as Omnivore,1,3,0,0,0,0,0,0,NA,,Ecological Indicators,Conservation,2014,3.444,2014,France,0,0,0,0,Europe,leroy,0
43,Kali,179,Leroy2014,Elymus athericus,Primary-producer,Diversity,index of relative rarity,index (0 to 1),Other,Estuary,Observational,1037,1033,0.48,12,0.214,0.66,12,0.29,half of 95% CI,native species,invader naturally non-present,Fig2b,"Leroy2014 created their own indices. ""Index of relative rarity"" is the one closest to a community diversity metric. The others are ""community specialisation index"" and ""functional diveristy index""",1,3,0,0,0,0,0,0,NA,,Ecological Indicators,Conservation,2014,3.444,2014,France,0,0,0,0,Europe,leroy,0
162,Kali,180,Liang2016,Spartina alterniflora,Primary-producer,Abundance,percent colonization,%,Other,Estuary,Observational,1038,1034,28.74,24,3.22,31.75,24,5.74,SEM,uninvaded,invader naturally non-present,Fig2a,"Other = mycorrhizae colonizing native grass; Liang had one uninvaded site and three invaded sites, this is treating each of pair as an indep obs; SB1",0,1,1,0,0,0,0,0,"(1) Natural Science Foundation (China) (40771203, 40871243, 41101230), (2) Program for Innovative Research Team in University (China) (IRT13078)",,Aquatic Botany,Ecosystem,2016,1.846,2015,China,0,0,0,1,Asia,liang,0
163,Kali,180,Liang2016,Spartina alterniflora,Primary-producer,Abundance,spore density,spores/100 g dry soil,Other,Estuary,Observational,1038,1034,707.07,24,34.71,932.31,24,11.83,SEM,uninvaded,invader naturally non-present,Fig2b,Other = mycorrhizae colonizing native grass; SB1,1,1,1,0,0,0,0,0,"(1) Natural Science Foundation (China) (40771203, 40871243, 41101230), (2) Program for Innovative Research Team in University (China) (IRT13078)",,Aquatic Botany,Ecosystem,2016,1.846,2015,China,0,0,0,1,Asia,liang,0
164,Kali,180,Liang2016,Spartina alterniflora,Primary-producer,Abundance,percent colonization,%,Other,Estuary,Observational,1038,1034,22.61,24,9.04,31.75,24,5.74,SEM,uninvaded,invader naturally non-present,Fig2a,Other = mycorrhizae colonizing native grass; SB2,0,1,1,0,0,0,0,0,"(1) Natural Science Foundation (China) (40771203, 40871243, 41101230), (2) Program for Innovative Research Team in University (China) (IRT13078)",,Aquatic Botany,Ecosystem,2016,1.846,2015,China,0,0,0,1,Asia,liang,0
165,Kali,180,Liang2016,Spartina alterniflora,Primary-producer,Abundance,spore density,spores/100 g dry soil,Other,Estuary,Observational,1038,1034,578.06,24,40.23,932.31,24,11.83,SEM,uninvaded,invader naturally non-present,Fig2b,Other = mycorrhizae colonizing native grass; SB2,1,1,1,0,0,0,0,0,"(1) Natural Science Foundation (China) (40771203, 40871243, 41101230), (2) Program for Innovative Research Team in University (China) (IRT13078)",,Aquatic Botany,Ecosystem,2016,1.846,2015,China,0,0,0,1,Asia,liang,0
